&;e t
kirjateollisuus;k i1 r j a t e2 o ll i s U: s
kirjojensuomi;k i1 r j o j e n s U2 o m i
kirk;k 9:1 r k
kirkegaard;tj i1 r k e g o:2 rd
kirkenes;S i1 r k e n e:2 s
kirkevik;tj i1 r k e v i:2 k
kirkko;k i1 r kk o
kirkkonummella;k i1 r kk o n U2 mm e ll a
kirkkoon;k i1 r kk o: n
kirkon;k i1 r k o n
kirkossa;k i1 r k o ss a
kirkuk;k a r k U:1 k
kirmo;k i1 r m o
kirmon;k i1 r m o n
kirmula;k i1 r m U l a
kirous;k i1 r o U s
kirov;k i:1 r o f
kirppis;k i1 r pp i s
kirre;k i1 rr e
kirsi;k i1 r s i
kirsten;tj i1 r s t e n
kirstensen;S i1 r s t e n s e2 n
kirt;k i1 r t
kirurgdrömmarna;tj i r u1 r g d r &2 mm a rn a
kirurgernas;tj i r u1 r g { rn a s
kirurgijour;tj i r u r g i:1 S U:2 r
kirurgrättigheter;tj i r u1 r g r e2 tt i h e: t { r
kirurgtjänsterna;tj i r u1 r g tj e2 n s t { rn a
kisailijat;k i1 s a j l i j a t
kisakallio;k i1 s a k a2 ll i o
kisakeskus;k i1 s a k e2 s k U s
kisas;k i1 s a s
kisat;k i1 s a t
kish;k i1 SS
kishti;k i1 S t i
kismet;k i1 s m e t
kismettävlingen;k i1 s m e t t e:2 v l i N e n
kisodalen;k i:1 s o d a:2 l e n
kisorvägen;tj i:1 s o r v e:2 g e n
kiss;k i1 ss
kissande;k i1 ss a n d e
kissani;k i1 ss a n i
kissankulma;k i1 ss a N k U2 l m a
kissanpäivät;k i1 ss a n p {2 i v { t
kisses;k i1 ss e s
kisset;k i1 ss e t
kissi;k i1 ss i
kissinger;k i1 ss i N { r
kistbärare;tj i1 s t b {:2 r a r e
kistbegravningar;tj i1 s t b e g r a:2 v n i N a r
kistgravar;tj i1 s t g r a:2 v a r
kistgravarna;tj i1 s t g r a:2 v a rn a
kistvakt;tj i1 s t v a2 k t
kisu;k i1 s U
kitch;k i1 tj
kitchen;k i1 tj e n
kite;k a1 j t
kiteen;k i1 t e: n
kiti;k i1 t i
kitinkannus;k i1 t i N k a2 nn U s
kitte;k i1 tt e
kittillä;k i1 tt i ll {
kittlad;tj i1 t l a d
kittlingsvideor;tj i1 t l i N s v i:2 d e o r
kittyböckerna;k i1 tt y b &2 kk { rn a
kitula;k i1 t U l a
kitzbühel;k i1 t s b y:2 h e l
kitzbühels;k i1 t s b y:2 h e l s
kiuas;k i1 U a s
kiusaukset;k i1 U s a U k s e t
kiveä;k i1 v e {
kivelsä;k i1 v e l s {
kiven;k i1 v e n
kivihalme;k i1 v i h a2 l m e
kivijalka;k i1 v i j a2 l k a
kivilehto;k i1 v i l e2 h t o
kivilösbor;tj i1 v i l &: s b U:2 r
kivilösigelkottar;tj i1 v i l &: s i:2 g e l k o tt a r
kivilum;k i1 v i l u m
kivisilta;k i1 v i s i2 l t a
kivisto;k i1 v i s t o
kivitippu;k i1 v i t i2 pp U
kivkiv;k i1 v k i2 v
kivu;tj i:1 v U
kjebom;tj e b U:1 m
kjeldsen;tj e1 l d s e n
kjellbäck;tj e1 ll b e2 kk
kjellberg;tj e1 ll b {2 r i
kjellegubben;tj e1 ll e g u2 bb e n
kjellsson;tj e1 ll s o n
kjellström;tj e1 ll s t r &2 mm
kjelson;tj e1 l s o n
kjerin;tj e r i:1 n
kjerstin;tj {1 r s t i n
kjetil;tj e:1 t i l
kjolfållarna;tj U:1 l f o2 ll a rn a
kjöller;tj &1 ll { r
kjolprotest;tj U:1 l p r o t e2 s t
kjolprotesten;tj U:1 l p r o t e2 s t e n
kjolprotester;tj U:1 l p r o t e2 s t { r
kjölstad;tj &:1 l s t a:2 d
kjos;k j U:1 s
kjp;k o: j i: p e:1
kjt;k o: j i: t e:1
kk;k o:1 k o:2
kkc;k o: k o: s e:1
kkh;k o: k o: h o:1
kkk;k o: k o: k o:1
kkn;k o: k o: e1 nn
kkp;k o: k o: p e:1
kkv;k o: k o: v e:1
klabbar;k l a1 bb a r
klabböle;k l a1 bb b &:2 l e
kläbo;k l e:1 b U
kläck;k l e1 kk
klackens;k l a1 kk e n s
klackmedlemmar;k l a1 kk m e:2 d l e mm a r
kläckningsfesten;k l e1 k n i N s f e2 s t e n
klackskor;k l a1 kk s k U:2 r
kläd;k l e:1 d
klädaffären;k l e:1 d a f {:2 r e n
klädaffärerna;k l e:1 d a f {:2 r { rn a
klädberget;k l e:1 d b {2 r j e t
klädbeställning;k l e:1 d b e s t e2 l n i N
klädborste;k l e:1 d b o2 r s t e
klädbranschen;k l e:1 d b r a2 n S e n
klädbutiken;k l e:1 d b u t i:2 k e n
klädbutiker;k l e:1 d b u t i:2 k { r
klädbytardag;k l e:1 d b y: t a rd a:2 g
klädbytardagen;k l e:1 d b y: t a rd a:2 g e n
klädbyte;k l e:1 d b y:2 t e
kläddesign;k l e:1 d d i s a2 j n
kläddesigner;k l e:1 d d i s a2 j n { r
kladdet;k l a1 dd e t
kladdkaka;k l a1 dd k a:2 k a
kläden;k l e:1 d e n
klädesaffären;k l e:1 d e s a f {:2 r e n
klädespersedlar;k l e:1 d e s p { r s e:2 d l a r
klädesplagget;k l e:1 d e s p l a2 gg e t
klädfabrik;k l e:1 d f a b r i:2 k
klädfibrer;k l e:1 d f i:2 b r { r
klädfunderingar;k l e:1 d f u n d e:2 r i N a r
klädhandeln;k l e:1 d h a2 n d e l n
klädhögarna;k l e:1 d h &:2 g a rn a
klädindustrin;k l e:1 d i n d u s t r i:2 n
klädinköp;k l e:1 d i n tj &:2 p
klädinköpen;k l e:1 d i2 nn tj &: p e n
klädinköpsfritt;k l e:1 d i n tj &: p s f r i2 tt
klädkedja;k l e:1 d tj e:2 d j a
klädkedjan;k l e1 d tj e:2 d j a n
klädkod;k l e:1 d k o:2 d
klädkoden;k l e:1 d k o:2 d e n
klädkoder;k l e:1 d k o:2 d { r
klädkollektion;k l e:1 d k o l e k tj U:2 n
klädkollektioner;k l e:1 d k o l e k tj U:2 n { r
klädkonsumtion;k l e:1 d k o n s u m tj U:2 n
klädkonsumtionen;k l e:1 d k o n s u m tj U:2 n e n
klädkvalitet;k l e:1 d k v a l i t e:2 t
klädlagret;k l e:1 d l a:2 g r e t
klädlinje;k l e:1 d l i2 n j e
klädmärke;k l e:1 d m {2 r k e
klädmärket;k l e:1 d m {2 r k e t
klädmedvetna;k l e:1 d m e: d v e:2 t n a
klädnader;k l e:1 d n a d { r
klädplagg;k l e:1 d p l a2 gg
klädproblemet;k l e:1 d p r o b l e:2 m e t
klädproffs;k l e:1 d p r o2 f s
klädrum;k l e:1 d r u2 mm
klädrummet;k l e:1 d r u2 mm e t
kläds;k l e:1 d s
klädshoppandet;k l e:1 d S o2 pp a n d e t
klädsidan;k l e:1 d s i:2 d a n
klädsömnad;k l e:1 d s &2 m n a d
klädställning;k l e:1 d s t e2 l n i N
klädställningarna;k l e:1 d s t e2 l n i N a rn a
klädställningarnas;k l e:1 d s t e2 l n i N a rn a s
klädställningen;k l e:1 d s t e2 l n i N e n
klädstilar;k l e:1 d s t i:2 l a r
klädtema;k l e:1 d t e:2 m a
klädtorg;k l e:1 d t o2 r i
kläduthyrningen;k l e:1 d u: t h y:2 rn i N e n
klaffbro;k l a1 ff b r U:2
klaffel;k l a1 ff e l
klaffkirurgin;k l a1 ff tj i r u r g i:2 n
klaffoperation;k l a1 ff o p e r a tj U:2 n
klaffopererades;k l a1 ff o p e r e:2 r a d e s
klafsande;k l a1 f s a n d e
klag;k l a:1 g
klagades;k l a:1 g a d e s
klagaren;k l a:1 g a r e n
klagokören;k l a:1 g U k 9:2 r e n
klagosamtal;k l a:1 g U s a2 m t a: l
klagovisan;k l a:1 g U v i:2 s a n
klaipeda;k l a1 i p e d a
klämförslag;k l e1 mm f 9 s l a:2 g
klämförslaget;k l e1 mm f 9 s l a:2 g e t
klämkäck;k l e1 mm tj e2 kk
klämmen;k l e1 mm e n
klämtat;k l e1 m t a t
klamydiabakterier;k l a m y:1 d i a b a k t e:2 r i { r
klamydias;k l a m y:1 d i a s
klanac;k l a1 n a k
klanäldste;k l a:1 n e2 l d s t e
klanderfria;k l a1 n d { r f r i:2 a
klandertalan;k l a1 n d { r t a:2 l a n
klangfärgen;k l a1 NN f {2 r j e n
klangfärger;k l a1 NN f {2 r j { r
klangfullt;k l a1 NN f u2 l t
klangmassor;k l a1 NN m a2 ss o r
klangpalett;k l a1 NN p a l e2 tt
klängrep;k l e1 NN r e:2 p
klangresurser;k l a1 NN r e s u2 r s { r
klangskålar;k l a1 NN s k o:2 l a r
klangtät;k l a1 NN t e:2 t
klanguppbyggnad;k l a1 NN u pp b y2 g n a d
klankas;k l a1 N k a s
klanledare;k l a:1 n l e:2 d a r e
klannamn;k l a:1 n n a2 m n
klansamhället;k l a:1 n s a m h e2 ll e t
klantigaste;k l a1 n t i g a s t e
klantkomedi;k l a1 n t k o m e d i:2
klantservice;k l a1 n t s 9:2 r v i s
klanväldet;k l a:1 n v e2 l d e t
klåpa;k l o:1 p a
klåparna;k l o:1 p a rn a
klåperi;k l o: p e r i:1
klappagröjt;k l a1 pp a g r &2 j t
klappagröjtin;k l a1 pp a g r &2 j t i n
kläppåldern;k l e1 pp o2 l d { rn
klapprik;k l a1 pp r i:2 k
klappshetsen;k l a1 p s h e2 t s e n
klappspel;k l a1 pp s p e:2 l
klarabo;k l a:1 r a b U:2
klarälvdalen;k l a:1 r e l v d a:2 l e n
klarälvsdalen;k l a:1 r e l v s d a:2 l e n
klarbeskt;k l a:1 r b e2 s k t
klarblåa;k l a:1 r b l o:2 a
klarering;k l a r e:1 r i N
klarglas;k l a:1 r g l a:2 s
klarifikation;k l a r i f i k a tj U:1 n
klarin;k l a r i:1 n
klarinettens;k l a r i n e1 tt e n s
klarinettv;k l a r i n e1 tt v
klarläggning;k l a:1 r l e2 g n i N
klarrosa;k l a:1 r r o:2 s a
klarttecken;k l a:1 r t t e2 kk e n
klärvoajant;k l e: r v o a j a1 n t
klås;k l o:1 s
klasen;k l a:1 s e n
klask;k l a1 s k
klassåterträff;k l a1 ss o: t { r t r e2 ff
klassbestämda;k l a1 ss b e s t e2 m d a
klasse;k l a1 ss e
klassefesten;k l a1 ss e f e2 s t e n
klassegern;k l a1 ss s e:2 g { rn
klassekampen;k l a1 ss e k a2 m p e n
klassföreståndarinna;k l a1 ss f 9 r e s t o n d a r i2 nn a
klassfotot;k l a1 ss f o2 t o t
klassgränser;k l a1 ss g r e2 n s { r
klassificerad;k l a s i f i s e:1 r a d
klassificerades;k l a s i f i s e:1 r a d e s
klassificeringarna;k l a s i f i s e:1 r i N a rn a
klassikeröversättaren;k l a1 ss i k { r &:2 v { r s e tt a r e n
klassikkonousut;k l a1 ss i k k o n o2 U s U t
klassituationen;k l a1 ss s i t u a tj U:2 n e n
klasskampens;k l a1 ss k a2 m p e n s
klasskampstidningen;k l a1 ss k a m p s t i:2 d n i N e n
klasskamraternas;k l a1 ss k a m r a:2 t { rn a s
klasskamraters;k l a1 ss k a m r a:2 t { r s
klasskildring;k l a1 ss S i2 l d r i N
klasskonsert;k l a1 ss k o n s {:2 r
klasslärarbristen;k l a1 ss l {: r a r b r i2 s t e n
klasslärarna;k l a1 ss l {:2 r a rn a
klasslärarstudenterna;k l a1 ss l {: r a r s t u d e2 n t { rn a
klasslärarstudier;k l a1 ss l {: r a r s t u:2 d i { r
klasslärarutbildning;k l a1 ss l {: r a r u:2 t b i l d n i N
klasslärarutbildningar;k l a1 ss l {: r a r u:2 t b i l d n i N a r
klasslärarutbildningarna;k l a1 ss l {: r a r u:2 t b i l d n i N a rn a
klasslärarutbildningen;k l a1 ss l {: r a r u:2 t b i l d n i N e n
klassmål;k l a1 ss m o:2 l
klassmedvetet;k l a1 ss m e:2 d v e: t e t
klassning;k l a1 s n i N
klassresor;k l a1 ss r e:2 s o r
klassrummets;k l a1 ss r u2 mm e t s
klassrumskänslan;k l a1 ss r u m s tj e2 n s l a n
klassrumssituation;k l a1 ss r u m s s i t u a tj U:2 n
klassrumssituationen;k l a1 ss r u m s s i t u a tj U:2 n e n
klassrumsväggen;k l a1 ss r u m s v e2 gg e n
klasstege;k l a1 ss s t e:2 g e
klasstorlekarna;k l a1 ss s t U:2 r l e: k a rn a
klassträff;k l a1 ss t r e2 ff
klassträffen;k l a1 ss t r e2 ff e n
klassundervisningen;k l a1 ss u n d { r v i:2 s n i N e n
klassuppsättningar;k l a1 ss u pp s e2 t n i N a r
klassutfärd;k l a1 ss u:2 t f {: rd
klassutflykt;k l a1 ss u:2 t f l y k t
klassutflykten;k l a1 ss u:2 t f l y k t e n
klasu;k l a1 s U
klatschig;k l a1 t S i
klätterpark;k l e1 tt { r p a2 r k
klätterpiggar;k l e1 tt { r p i2 gg a r
klättervägg;k l e1 tt { r v e2 gg
klätterväggen;k l e1 tt { r v e2 gg e n
klätterväxter;k l e1 tt { r v e2 k s t { r
klättrandes;k l e1 t r a n d e s
klättraren;k l e1 t r a r e n
klättringsäventyret;k l e1 t r i N s e: v e n t y:2 r e t
klättringshackor;k l e1 t r i N s h a2 kk o r
klättringsolycka;k l e1 t r i N s U:2 l y kk a
klättringsresor;k l e1 t r i N s r e:2 s o r
klättringssäsong;k l e1 t r i N s s e s o2 NN
klättringssäsongen;k l e1 t r i N s s e s o2 NN e n
klättringstävlingen;k l e1 t r i N s t e:2 v l i N e n
klättringsturismen;k l e1 t r i N s t u r i2 s m e n
klättringsutrustningen;k l e1 t r i N s u:2 t r u s t n i N e n
klaudia;k l au1 d i a
klaustrofobisk;k l au s t r o f o:1 b i s k
klausulerna;k l au s u:1 l { rn a
klavus;k l a:1 v u s
klåvus;k l o:1 v u s
kleberg;k l e:1 b {2 r i
klebsiella;k l e b s i e1 ll a
kleerup;k l e:1 r u p
klefbom;k l e1 ff b U2 mm
kleihues;k l a1 jj h u:2 s
kleine;k l a1 j n e
kleis;k l a1 j s
kleist;k l a1 j s t
klemens;k l e:1 m e n s
klementiner;k l e m e n t i:1 n { r
klemets;k l e:1 m e t s
klemetsarna;k l e:1 m e t s a rn a
klemetsen;k l e:1 m e t s e n
klemetsgårdarna;k l e:1 m e t s g o:2 rd a rn a
klemetz;k l e:1 m e t s
klemt;k l e1 m t
klenträd;k l e:1 n t r e:2 d
klepa;k l e1 m p a
klepp;k l e1 pp
klercker;k l {1 r k { r
kletats;k l e:1 t a t s
klibb;k l i1 bb
klibbal;k l i1 bb a:2 l
klibbalen;k l i1 bb a:2 l e n
klibbet;k l i1 bb e t
klibbtass;k l i1 bb t a2 ss
klichébild;k l i S e:1 b i2 l d
klichéerna;k l i S e:1 { rn a
klichémässigt;k l i S e:1 m e2 ss i t
klichérefräng;k l i S e:1 r e f r e2 NN
klichésamling;k l i S e:1 s a2 m l i N
klickas;k l i1 kk a s
klickmonster;k l i1 kk m o2 n s t { r
klickokrati;k l i k o k r a t i:1
klicks;k l i1 k s
klicktivism;k l i kk t i v i1 s m
klicktivismen;k l i kk t i v i1 s m e n
klientantal;k l i e1 n t a n t a:2 l
klientarbete;k l i e1 n t a r b e:2 t e
klientavgifter;k l i e1 n t a:2 v j i f t { r
klientavgifterna;k l i e1 n t a:2 v j i f t { rn a
klientbegreppet;k l i e1 n t b e g r e2 pp e t
klientbesök;k l i e1 n t b e s &:2 k
klienternas;k l i e1 n t { rn a s
klientgrupperna;k l i e1 n t g r u2 pp { rn a
klientombudsman;k l i e1 n t o m b u: d s m a2 nn
klientplanen;k l i e1 n t p l a:2 n e n
klientråd;k l i e1 n t r o:2 d
klientrådet;k l i e1 n t r o:2 d e t
klikkaa;k l i1 kk a:
klim;k l i1 mm
klimatalarmisternas;k l i m a:1 t a l a r m i2 s t { rn a s
klimatanläggning;k l i m a:1 t a n l e2 g n i N
klimatavtalet;k l i m a:1 t a:2 v t a: l e t
klimatbekymmer;k l i m a:1 t b e tj y2 mm { r
klimatcentret;k l i m a:1 t s e2 n t r e t
klimatdag;k l i m a:1 t d a:2 g
klimatdata;k l i m a:1 t d a:2 t a
klimatdebatt;k l i m a:1 t d e b a2 tt
klimatdebatten;k l i m a:1 t d e b a2 tt e n
klimateffekten;k l i m a:1 t e f e2 k t e n
klimatfascism;k l i m a:1 t f a S i2 s m
klimatflyktingarna;k l i m a:1 t f l y2 k t i N a rn a
klimatfond;k l i m a:1 t f o2 n d
klimatfonden;k l i m a:1 t f o2 n d e n
klimatförändringarna;k l i m a:1 t f 9 r e2 n d r i N a rn a
klimatförändringsenhet;k l i m a:1 t f 9 r e n d r i N s e:2 n h e: t
klimatförändringsenheten;k l i m a:1 t f 9 r e n d r i N s e:2 n h e: t e n
klimatförhandlingarna;k l i m a:1 t f 9 h a2 n d l i N a rn a
klimatforskare;k l i m a:1 t f o2 r s k a r e
klimatforskaren;k l i m a:1 t f o2 r s k a r e n
klimatforskarna;k l i m a:1 t f o2 r s k a rn a
klimatforskning;k l i m a:1 t f o2 r s k n i N
klimatforskningen;k l i m a:1 t f o2 r s k n i N e n
klimatfrågan;k l i m a:1 t f r o:2 g a n
klimatfrågor;k l i m a:1 t f r o:2 g o r
klimatframgång;k l i m a:1 t f r a2 mm g o N
klimatgreppet;k l i m a:1 t g r e2 pp e t
klimathotare;k l i m a:1 t h U:2 t a r e
klimathotarna;k l i m a:1 t h U:2 t a rn a
klimathotet;k l i m a:1 t h U:2 t e t
klimathysterin;k l i m a:1 t h y s t e r i:2 n
klimatjämförelse;k l i m a:1 t j e2 m f 9: r e l s e
klimatjämförelsen;k l i m a:1 t j e2 m f 9: r e l s e n
klimatkänslighet;k l i m a:1 t tj e2 n s l i h e: t
klimatkänsligheten;k l i m a:1 t tj e2 n s l i h e: t e n
klimatkatastrofen;k l i m a:1 t k a t a s t r o:2 f e n
klimatkonferens;k l i m a:1 t k o n f e r e2 n s
klimatkonferenser;k l i m a:1 t k o n f e r e2 n s { r
klimatkrisen;k l i m a:1 t k r i:2 s e n
klimatlära;k l i m a:1 t l {:2 r a
klimatläran;k l i m a:1 t l {:2 r a n
klimatmål;k l i m a:1 t m o:2 l
klimatmålen;k l i m a:1 t m o:2 l e n
klimatmodell;k l i m a:1 t m U d e2 ll
klimatmodellen;k l i m a:1 t m U d e2 ll e n
klimatmodeller;k l i m a:1 t m U d e2 ll { r
klimatmodellerna;k l i m a:1 t m U d e2 ll { rn a
klimatmöte;k l i m a:1 t m &:2 t e
klimatnödläge;k l i m a:1 t n &:2 d l e: g e
klimatnödläget;k l i m a:1 t n &:2 d l e: g e t
klimatologins;k l i m a t o l o g i:1 n s
klimatologiska;k l i m a t o l o:1 g i s k a
klimatpanelen;k l i m a:1 t p a n e:2 l e n
klimatpolitiska;k l i m a:1 t p U l i:2 t i s k a
klimatproblematiken;k l i m a:1 t p r o b l e m a t i:2 k e n
klimatprotokoll;k l i m a:1 t p r o t o k o2 ll
klimatrapportering;k l i m a:1 t r a p o r t e:2 r i N
klimatrelaterade;k l i m a:1 t r e l a t e:2 r a d e
klimatsamtalen;k l i m a:1 t s a2 m t a: l e n
klimatscenarier;k l i m a:1 t s e n a:2 r i { r
klimatskandalen;k l i m a:1 t s k a n d a:2 l e n
klimatskeptiker;k l i m a:1 t s k e2 p t i k { r
klimatskeptikerna;k l i m a:1 t s k e2 p t i k { rn a
klimatskeptiska;k l i m a:1 t s k e2 p t i s k a
klimatskyddet;k l i m a:1 t S y2 dd e t
klimatsmarta;k l i m a:1 t s m a2 r t a
klimatsmartast;k l i m a:1 t s m a2 r t a s t
klimatterrorister;k l i m a:1 t t { r o r i2 s t { r
klimattoppmöte;k l i m a:1 t t o pp m &:2 t e
klimattrend;k l i m a:1 t t r e2 n d
klimatuppvärmning;k l i m a:1 t u pp v {2 r m n i N
klimatuppvärmningen;k l i m a:1 t u pp v {2 r m n i N e n
klimatuppvärmningens;k l i m a:1 t u2 pp v { r m n i N e n s
klimatuppvärmningsmodellerna;k l i m a:1 t u pp v { r m n i N s m U d e2 ll { rn a
klimatutvecklingen;k l i m a:1 t u:2 t v e k l i N e n
klimatvänliga;k l i m a:1 t v e2 n l i g a
klimatvetenskapens;k l i m a:1 t v e: t e n s k a:2 p e n s
klimkin;k l i m i1 tj i n
klimpar;k l i1 m p a r
klimpel;k l i1 m p e l
klimpsoppa;k l i1 m p s o2 pp a
klimt;k l i1 m t
klimtska;k l i1 m t s k a
klindamycin;k l i n d a m y s i:1 n
klindh;k l i1 n d h
kline;k l a1 j n
klines;k l a1 j n s
klingenberg;k l i1 NN e n b {2 r i
klingenbergs;k l i1 NN e n b {2 r i s
klingenthals;k l i1 NN e n t h a:2 l s
klingstedt;k l i1 NN s t e2 tt
klingvall;k l i1 NN v a2 ll
klingvalls;k l i1 NN v a2 l s
klinikansvarig;k l i n i:1 k a n s v a:2 r i g
klinikfärdiga;k l i n i:1 k f {:2 rd i g a
klinikgruppen;k l i n i:1 k g r u2 pp e n
klinikstiftelsen;k l i n i:1 k s t i2 f t e l s e n
klinikstiftelsens;k l i n i:1 k s t i2 f t e l s e n s
klinkade;k l i1 N k a d e
klinkande;k l i1 N k a n d e
klinkergolv;k l i1 N k { r g o2 l v
klinkers;k l i1 N k { r s
klinkmann;k l i1 N k m a2 nn
klintar;k l i1 n t a r
klinter;k l i1 n t { r
klintvägen;k l i1 n t v e:2 g e n
klipparkivet;k l i1 pp a r k i:2 v e t
klippböcker;k l i1 pp b &2 kk { r
klippbord;k l i1 pp b U:2 rd
klippbordet;k l i1 pp b U:2 rd e t
klippbranten;k l i1 pp b r a2 n t e n
klippduveungar;k l i1 pp d u: v e u2 NN a r
klippduvor;k l i1 pp d u:2 v o r
klippekonomi;k l i1 pp e k o n o m i:2
klipphammar;k l i1 pp h a2 mm a r
klippkant;k l i1 pp k a2 n t
klippklättring;k l i1 pp k l e2 t r i N
klippkonst;k l i1 pp k o2 n s t
klippkonsten;k l i1 pp k o2 n s t e n
klippningar;k l i1 p n i N a r
klippstigen;k l i1 pp s t i:2 g e n
klippstrand;k l i1 pp s t r a2 n d
klipskhet;k l i1 p s k h e:2 t
klischén;k l i S e:1 n
klisterföre;k l i1 s t { r f 9:2 r e
klisterföret;k l i1 s t { r f 9:2 r e t
klistermärkessigillet;k l i1 s t { r m { r k e s s i g i2 ll e t
klistrig;k l i1 s t r i g
klitjko;k l i1 tj k o
klittra;k l i1 t r a
kll;k o: e ll e1 ll
kloaken;k l U a:1 k e n
kloakgång;k l U a:1 k g o2 NN
kloakledningar;k l U a:1 k l e:2 d n i N a r
kloaksystemet;k l U a:1 k s y s t e:2 m e t
klobbskogsv;k l o1 bb s k U2 g s v
klock;k l o1 kk
klockad;k l o1 kk a d
klockarback;k l o1 kk a r b a2 kk
klockarbacken;k l o1 kk a r b a2 kk e n
klockarbackv;k l o1 kk a r b a2 kk v
klockarfar;k l o1 kk a r f a:2 r
klockarkärlek;k l o1 kk a r tj {:2 r l e: k
klockars;k l o1 kk a r s
klockartåget;k l o1 kk a r t o:2 g e t
klockartorp;k l o1 kk a r t o2 r p
klockartorpet;k l o1 kk a r t o2 r p e t
klockas;k l o1 kk a s
klockat;k l o1 kk a t
klockgjutning;k l o1 kk j u:2 t n i N
klockors;k l o1 kk o r s
klockriketeatern;k l o1 kk r i: k e t e a:2 t { rn
klockringarnas;k l o1 kk r i2 NN a rn a s
klockstapel;k l o1 kk s t a:2 p e l
klockvridandet;k l o1 kk v r i:2 d a n d e t
kloförsedda;k l U:1 f 9 s e2 dd a
kloklippning;k l U:1 k l i2 p n i N
kloklippningen;k l U:1 k l i2 p n i N e n
klonas;k l U:1 n a s
klondike;k l o1 nn d a2 j k
kloner;k l U:1 n { r
kloning;k l U:1 n i N
kloningen;k l U:1 n i N e n
kloo;k l U:1
kloos;k l U:1 s
klopidogrel;k l o p i d o g r e:1 l
klopp;k l o1 pp
kloren;k l U:1 r e n
kloreringen;k l o r e:1 r i N e n
klorfenoler;k l U:1 r f e n o:2 l { r
klorhexidin;k l U:1 r h e k s i d i:2 n
klorhexidinglukonat;k l U:1 r h e k s i d i: n g l u k o n a:2 t
klorider;k l U r i:1 d { r
klorin;k l o r i:1 n
klorofyllets;k l U r U f y1 ll e t s
klose;k l o:1 s e
klosse;k l o1 ss e
klostarka;k l U:1 s t a2 r k a
klosterbyggnader;k l o1 s t { r b y2 g n a d { r
klostergatan;k l o1 s t { r g a:2 t a n
klosterhede;k l o1 s t { r h e:2 d e
klosterlik;k l o1 s t { r l i:2 k
klösträd;k l &:1 s t r e:2 d
kloten;k l U:1 t e n
klotgrill;k l U:1 t g r i2 ll
klotgrillar;k l U:1 t g r i2 ll a r
klotgrillen;k l U:1 t g r i2 ll e n
klotspelet;k l U:1 t s p e:2 l e t
klottas;k l o1 tt a s
klottrades;k l o1 t r a d e s
klottrandets;k l o1 t r a n d e t s
klötzer;k l &1 t s { r
klovharu;k l U:1 v h a2 r U
klovharun;k l U:1 v h a2 r U n
klovskärborna;k l U:1 v S {: r b U:2 rn a
klovskärsbo;k l U:1 v S {: r s b U:2
klubbafton;k l u1 bb a2 f t o n
klubband;k l u1 bb b a2 n d
klubbarbetet;k l u1 bb a r b e:2 t e t
klubbars;k l u1 bb a r s
klubbchef;k l u1 bb S e:2 f
klubbchefen;k l u1 bb S e:2 f e n
klubbchefer;k l u1 bb S e:2 f { r
klubbdirektörer;k l u1 bb d i r e k t 9:2 r { r
klubbekrigare;k l u1 bb e k r i:2 g a r e
klubbekriget;k l u1 bb e k r i:2 g e t
klubbekrigets;k l u1 bb e k r i:2 g e t s
klubbevenemang;k l u1 bb e v e n e m a2 NN
klubbfinal;k l u1 bb f i n a:2 l
klubbfolket;k l u1 bb f o2 l k e t
klubbform;k l u1 bb f o2 r m
klubbfotboll;k l u1 bb f U:2 t b o ll
klubbfotbollens;k l u1 bb f U:2 t b o ll e n s
klubbgränserna;k l u1 bb g r e2 n s { rn a
klubbhamn;k l u1 bb h a2 m n
klubbhandsken;k l u1 bb h a2 n d s k e n
klubbhistoria;k l u1 bb h i s t U:2 r i a
klubbhistorien;k l u1 bb h i s t U:2 r i e n
klubbhits;k l u1 bb h i2 t s
klubbhövding;k l u1 bb h &:2 v d i N
klubbhövdingen;k l u1 bb h &:2 v d i N e n
klubbidentiteten;k l u1 bb i d e n t i t e:2 t e n
klubbikonen;k l u1 bb i k U:2 n e n
klubbisar;k l u1 bb i s a r
klubbisarna;k l u1 bb i s a rn a
klubbisarnas;k l u1 bb i s a rn a s
klubbkväll;k l u1 bb k v e2 ll
klubbkvällarna;k l u1 bb k v e2 ll a rn a
klubblad;k l u1 bb b l a:2 d
klubbladet;k l u1 bb b l a:2 d e t
klubblags;k l u1 bb l a:2 g s
klubblagsbasket;k l u1 bb l a: g s b a:2 s k e t
klubblagscoachningen;k l u1 bb l a: g s k 91 U tj n i N e n
klubblagsfotbollen;k l u1 bb l a: g s f U:2 t b o ll e n
klubblagsfotbollens;k l u1 bb l a: g s f U:2 t b o ll e n s
klubblagsguld;k l u1 bb l a: g s g u2 l d
klubblagsnivå;k l u1 bb l a: g s n i v o:2
klubblagsturnering;k l u1 bb l a: g s t u rn e:2 r i N
klubbland;k l u1 bb l a n d
klubblåt;k l u1 bb l o:2 t
klubbledningens;k l u1 bb l e:2 d n i N e n s
klubblokaler;k l u1 bb l U k a:2 l { r
klubbmästerskapen;k l u1 bb m e s t { r s k a:2 p e n
klubbmästerskapet;k l u1 bb m e s t { r s k a:2 p e t
klubbmatcher;k l u1 bb m a2 tj { r
klubbmedlemmen;k l u1 bb m e:2 d l e mm e n
klubbmeriter;k l u1 bb m e r i:2 t { r
klubbmöte;k l u1 bb m &:2 t e
klubbrepresentanter;k l u1 bb r e p r e s e n t a2 n t { r
klubbrummet;k l u1 bb r u2 mm e t
